,countyFIPS,state,county,PVI,pop_density,avg_household_size,share_granpa_house,healthcare_prof_pc,health_factors,pres_vote_average,Years of Potential Life Lost Rate,% Fair or Poor Health,% Low Birthweight,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,# Driving Deaths,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,% Uninsured,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,Preventable Hospitalization Rate,% With Annual Mammogram,% Vaccinated (Flu),High School Graduation Rate,% Some College,% Unemployed,Income Ratio,% Single-Parent Households,Social Association Rate,Violent Crime Rate,Injury Death Rate,Average Daily PM2.5 (Air pollution),Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,Life Expectancy,Age-Adjusted Death Rate,Child Mortality Rate,Infant Mortality Rate,% Adults with Diabetes,HIV Prevalence Rate,% Food Insecure,% Limited Access to Healthy Foods,Drug Overdose Mortality Rate,Motor Vehicle Mortality Rate,% Insufficient Sleep,% Uninsured (Children),Other Primary Care Provider Ratio,% Disconnected Youth,Average Grade Performance,Median Household Income,% Enrolled in Free or Reduced Lunch,Segregation index (Black/White),Segregation Index (White/Not-White),Homicide Rate,Suicide Rate (Age-Adjusted),Firearm Fatalities Rate,Juvenile Arrest Rate,Average Traffic Volume per Meter of Major Roadways,% Homeowners,% Severe Housing Cost Burden,% less than 18 years of age,% 65 and over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Non-Hispanic White,% Not Proficient in English,% Female,% Rural,2016_senate_vote_split
3092,47081,Tennessee,Hickman,19.81554774,0.397982237,1.827790345,-0.647738041,0.712008286,0.032243218,0.28257647,-0.12252886,5.964732579,1.689145001,-7.030828283,-1.219396165,-0.458841256,0.786977507,-0.03987986,0.652861671,-0.072146837,-0.33097464,0.109441792,-0.308590673,-0.040509973,-0.043581534,0.151440525,0.212622097,0.653989139,0.909290293,0.734999127,-1.310172885,0.873888268,4.19680928,2.072657359,0.004441622,-0.35232749,-1.79962209,0.441185646,0.210862336,1.69257125,-0.513621111,0.359761135,-1.213469625,2.785764106,-0.180786515,0,-0.207565949,0.486537135,-4.451956507,0.000263901,-0.2926456,0.765164415,-1.391348716,0.325664798,0,0.332838266,0,-1.046840379,0,0.211119105,0.898412876,0,-0.322741418,-0.423588145,0,0.064380644,4.724941344,-0.427929203,2.332264693,1.732109093,0.793799795,0.05724269,0.014989993,-0.005488709,1.564673169,0.042800674,2.728313515,-0.760889194,0
3093,47085,Tennessee,Humphreys,17.69993405,0.375531463,1.813690027,-0.271470674,0.707484377,0.022032866,0.056984733,-0.123869785,5.610147097,1.689969014,-6.23286145,-1.337157165,-0.47045749,0.755498407,-0.044458402,0.658259822,-0.058497435,-0.45355784,0.070470397,-0.270128647,-0.030115699,-0.042858189,0.111737243,0.308264442,0.769398987,1.039188906,0.708666985,-1.387609419,1.171527579,4.06101377,1.362585719,0.015268695,-0.238337129,-2.005328928,0.450189435,0.210862336,1.268513205,-0.563773769,0.247627794,-1.207812836,2.710940877,-0.149126004,0,-0.121591887,0.242687281,-4.451956507,0.000135817,-0.29916909,0.65311316,-1.335752206,0.277521833,0,0,0,-1.12583836,0,0.113636551,0.418644626,0,-0.332197001,-0.568729302,0,0.108603391,4.461030561,-0.412849327,2.417712158,1.974311625,0.426973841,0.059515837,0.020551525,-0.008371685,1.600313634,0.010969238,2.889892678,-0.627657652,0
3094,47141,Tennessee,Putnam,18.40634305,0.623313649,1.604223153,-0.365429074,1.176928582,0.015584222,0.496827678,-0.101685689,5.943897128,1.421335376,-7.187636215,-1.075043971,-0.418184436,0.766945352,-0.053941364,0.682778355,-0.103345469,-0.359423194,0.173666036,-0.216460704,-0.012170098,-0.020698794,0.02725446,0.246508157,0.827103911,1.125787982,0.717006077,-1.955394375,0.967312899,4.69943142,2.256681724,0.013270084,-0.364871862,-1.244102094,0.432181858,0,1.894302127,-0.564414488,0.169368067,-1.244726461,2.319758612,-0.132714797,-0.52093855,-0.1400149,0.445556409,-5.087950294,0.000485239,-0.20468564,0.304118629,-1.268552296,0.276683646,0,0.122398041,0,-1.06623846,0,0.309349078,0.904397323,-0.009593005,-0.405628276,-0.423630263,0,0.198766094,3.539022863,-0.596718482,2.344273885,1.643201407,0.350387916,0.065976584,0.064783844,-0.024426891,1.529343034,0.251422665,2.889458301,-0.266128678,0
3095,47155,Tennessee,Sevier,17.87007098,0.60021672,1.770739094,-0.505282243,0.52710955,0.024719801,0.924144073,-0.109815563,5.639983426,1.538539931,-6.514910391,-1.682842683,-0.464649373,0.993022527,-0.072514413,0.615560939,-0.146243588,-0.326561645,0.114614985,-0.301434947,-0.02092703,-0.040048272,0.088289947,0.204538322,0.846338886,1.039188906,0.691980061,-1.730952153,0.951723968,3.45077665,2.125930121,0.011813512,-0.286081606,-1.448547109,0.454691329,0,1.555089886,-0.510374613,0.234195155,-1.243186918,2.331736434,-0.097165421,-0.513631623,-0.185458333,0.300525327,-4.133959614,0.000278726,-0.364592651,0.381754185,-1.32508589,0.32148314,0,0.152683928,0,-1.105831161,0,0.391663695,0.812911799,0,-0.385083954,-0.371859244,0,0.232202283,3.974227297,-0.459626738,2.314711616,1.948895939,0.17934383,0.055385872,0.054204153,-0.008431548,1.557603892,0.307538652,2.935836941,-0.431025796,0
3096,47161,Tennessee,Stewart,16.21827137,0.349941368,1.719348888,-0.37956948,0.394267889,0.034392766,0.195070015,-0.119775958,5.521572438,1.395988455,-6.279503967,-1.021861584,-0.47045749,0.772668825,-0.061821873,0.645998629,-0.042898119,-0.494790371,0.083192622,-0.22361643,-0.108789601,-0.06287537,0.204861684,0.263803677,0.673224114,0.865990755,0.755867338,-1.738057053,1.363146627,3.529498166,1.960161898,0.011944542,-0.403737147,-1.468466552,0.463695118,0.210862336,1.487188529,-0.550492937,0.311286826,-1.231759287,2.484588747,0,0,-0.128961092,0,-4.769953401,3.74E-05,0,0.412043762,-1.337969325,0.344383109,0,0,0,-1.090907758,0,0.220449301,0.433841096,0,-0.576625262,-0.58626205,0,0.057944597,4.249916572,-0.503477015,2.349027573,2.006131851,0.274253207,0.066851475,0.044201918,-0.008876048,1.591681189,0.012887948,2.878452499,-0.760889194,0
3097,47023,Tennessee,Chester,20.6565707,0.45577483,1.834800797,-0.382204065,0.940191045,0.013434674,0.77529603,-0.088864172,5.652066348,1.151641811,-6.566605761,-1.181408746,-0.447225022,0.867106126,-0.0382846,0.639506891,-0.02144906,-0.123697593,0.134311442,-0.17352635,-0.027891845,-0.048060708,0.069616714,0.320343107,0.673224114,0.995889368,0.728111136,-1.933794719,1.028605778,4.234206415,1.950836103,0.011468632,-0.242106668,-1.371758418,0.436683752,0,1.393785409,-0.552855691,0.229522932,-1.259693785,2.268339363,0,0,-0.21002235,0.161016471,-4.699287425,0.000293486,0,0.41049577,-1.327832345,0.274453384,0,0,0,-1.113000016,0,0.308623087,1.249783394,0,-0.237855367,-0.360480361,0,0.048892008,4.432107772,-0.386636435,2.479768263,1.693498743,1.508828189,0.042795842,0.032009035,-0.004976685,1.474171915,0.046241383,2.984784108,-0.496436782,0
3098,47039,Tennessee,Decatur,21.03543869,0.377531308,1.696884289,-0.492575162,0.969973615,0.027406736,0.491917339,-0.101419967,6.611828422,1.589607288,-6.884397995,-1.211798681,-0.447225022,0.993022527,-0.055174263,0.586072748,-0.037048376,-0.501300771,0.097830845,-0.227194293,-0.023932898,-0.032564434,0.058980827,0.324431993,0.673224114,1.017539137,0.737025007,-1.668134326,1.30052068,4.8585558,1.771463571,0.008353822,-0.236518508,-1.491234289,0.436683752,0.210862336,1.337743771,-0.548293106,0.200321541,-1.241844547,2.515154946,0,0,-0.192827538,0.292387311,-5.087950294,0.00015117,0,0.469452932,-1.279240499,0.337146068,0,0,0,-1.005162619,0,0.162702809,0.548479786,0,0,0,0,0.097115563,4.460594616,-0.400111236,2.363357907,2.310552591,0.467551365,0.031579573,0.023078944,-0.016158367,1.594494906,0,2.926853119,-0.760889194,0
3099,47087,Tennessee,Jackson,20.00819734,0.388083436,1.719348888,-0.629877186,0.664273923,0.048364828,0.007942699,-0.113950937,6.926603738,1.813482715,-7.229708532,-1.283974778,-0.47045749,1.001607736,-0.05461388,0.559771388,-0.031198632,-0.51025257,0.095186768,-0.211988376,-0.047564394,-0.040896811,0,0.384543325,0.730929038,0.995889368,0.669102654,-1.254994096,1.284547583,4.185097664,1.921155939,0.003152536,-0.1558216,-1.503404906,0.441185646,0.210862336,1.429667254,-0.565002083,0.346912523,-1.234465384,2.593398352,0,0,-0.165807119,0.345284419,-4.98195133,3.00E-07,-0.325063038,0.502281636,-1.401307453,0.301910092,0,0,0,-0.8800122,0,0,1.60732086,0,-0.365107309,0,0,0.037993832,4.424894694,-0.359074091,2.020461223,2.215602633,0.098069247,0.059885546,0.006462247,-0.005849784,1.649151697,0.010568303,2.890433449,-0.760889194,0
3100,47109,Tennessee,McNairy,20.25122211,0.417264379,1.748887579,-0.42400326,0.746984199,0.039766636,0.648648583,-0.133979276,7.105476975,1.391582022,-7.64816692,-1.15101881,-0.435608787,1.087459828,-0.042195927,0.576766679,-0.072146837,-0.29419968,0.117872182,-0.270128647,-0.02648259,-0.032661807,0.044598207,0.294681819,0.653989139,1.039188906,0.736959125,-1.602431161,1.468625598,4.292885468,2.111913032,0.012268832,-0.342784281,-1.643074734,0.445687541,0,1.456918547,-0.574217464,0.193897235,-1.194189547,3.096371684,-0.104197475,0,-0.189142935,0.292387311,-5.264615235,0.000258778,-0.146295295,0.694158816,-1.383207334,0.263802753,0,0.369313693,0,-0.933802047,0,0.127104805,0.349916769,0,-0.409228021,-0.540483646,0,0.075835744,4.244394602,-0.431291354,2.450679718,2.050563303,0.972613357,0.036117137,0.014380339,-0.003328322,1.556261354,0.041318296,2.92513748,-0.648834946,0
3101,27117,Minnesota,Pipestone,19.40852129,0.294592807,1.51504737,-0.246837833,0.905641623,0.024182414,0.461634674,-0.084517404,3.765116755,0.927088205,-4.614482695,-1.204201197,-0.476265607,0.746913198,-0.074394915,0.874877062,-0.011699487,-0.68033676,0.042151951,-0.108230352,-0.014801251,-0.031465506,0.054690214,0.203551349,0.846338886,1.147437751,0.607422095,-2.053188362,0.783663016,3.972135363,1.419403996,0.031058277,-0.029970577,-0.984196343,0.337642076,0,1.42546235,-0.496139337,0.126734036,-1.289052787,1.714348371,0,0,-0.132645695,0,-3.215301922,0.000447069,0,0,-1.05852995,0.358899191,0,0,-0.006627263,-1.297375493,-0.742724984,0.387089224,1.028621032,0,0,0,0.043760077,0.147691567,4.316743038,-0.367506795,2.900292852,2.067238906,0.190287045,0.193603841,0.04759267,0,1.510175193,0.695428845,2.949958643,-0.435949228,0
